run,topology,program,cohort,requests,input_tokens,output_tokens,elapsed_s,output_tps,ttft_p95_s,chunk_gap_p99_s,drafts,accepted_draft_tokens,preemptions
158,DP8,native,0-decode,16,2048,4096,6.33312131697312,646.7584931655249,3.7231715222878847,0.07470523469964972,810.0,3322.0,0.0
158,DP8,native,0-prefill,16,65536,2048,12.065672534052283,169.73774103515925,9.61554338678252,0.6355475463846233,416.0,1666.0,0.0
158,DP8,native,0-turnover,32,16128,4096,14.851184942992404,275.8029083687841,10.978048182540805,0.5902662010630593,801.0,3326.0,0.0
158,DP8,native,1-decode,16,2048,4096,10.505221221945249,389.9013560460315,6.490776846680092,0.5058337092155245,804.0,3330.0,0.0
158,DP8,native,1-prefill,16,65536,2048,19.350671000080183,105.83612320169743,15.31666993375984,0.6346087614190765,395.0,1684.0,0.0
158,DP8,native,1-turnover,32,16128,4096,16.705429270048626,245.1897484217164,13.724065699527271,0.5859999059583061,911.0,3223.0,0.0
158,DP8,native,2-decode,16,2048,4096,8.663521275972016,472.78697304756645,3.949901949497871,0.07902309959521517,780.0,3345.0,0.0
158,DP8,native,2-prefill,16,65536,2048,12.099429558031261,169.26417813148845,9.000260502565652,0.6129429570282809,426.0,1654.0,0.0
158,DP8,native,2-turnover,32,16128,4096,13.674725305987522,299.53069684014446,10.765281706419774,0.5693892365915235,828.0,3308.0,0.0
159,DP8,release-0.3.0,0-decode,16,2048,4096,13.757642262033187,297.7254330346767,7.472128028195584,0.995377180253854,776.0,3370.0,0.0
159,DP8,release-0.3.0,0-prefill,16,65536,2048,24.194253550027497,84.648199448074,15.536306359048467,1.2521799877518789,441.0,1646.0,0.0
159,DP8,release-0.3.0,0-turnover,32,16128,4096,18.6207419289276,219.9697528505458,15.75423306353623,1.1311328690499067,801.0,3357.0,0.0
159,DP8,release-0.3.0,1-decode,16,2048,4096,8.4923504460603,482.3164124014903,3.516550039552385,0.16690823990385978,819.0,3321.0,0.0
159,DP8,release-0.3.0,1-prefill,16,65536,2048,14.867866838001646,137.74672737620958,10.633516227768268,1.0353267614683137,449.0,1639.0,0.0
159,DP8,release-0.3.0,1-turnover,32,16128,4096,12.505305993952788,327.54096556939186,10.60303787816083,1.0538741584168747,861.0,3280.0,0.0
159,DP8,release-0.3.0,2-decode,16,2048,4096,8.577254542033188,477.54208295059726,5.993501951219514,0.16953579657478257,858.0,3288.0,0.0
159,DP8,release-0.3.0,2-prefill,16,65536,2048,10.45908533304464,195.81062155880002,6.20694387430558,0.5640487998188474,415.0,1659.0,0.0
159,DP8,release-0.3.0,2-turnover,32,16128,4096,10.20475555001758,401.3814912002418,6.956144955393392,0.619294274575077,766.0,3377.0,0.0
160,TP8,native-lcm-only,0-decode,4,512,1024,8.34884006693028,122.65176860388783,0.5448215574782808,0.06855000589624978,254.0,783.0,0.0
160,TP8,native-lcm-only,0-prefill,4,16384,512,3.5382610469823703,144.70385118606853,1.8204714435327332,0.4605816452414729,96.0,423.0,0.0
160,TP8,native-lcm-only,0-turnover,8,9984,1024,6.56614997505676,155.95135717123918,4.499823658639798,0.46810123504837975,195.0,841.0,0.0
160,TP8,native-lcm-only,1-decode,4,512,1024,3.626153193996288,282.39292308317414,0.48474795786314645,0.07675263564102351,178.0,853.0,0.0
160,TP8,native-lcm-only,1-prefill,4,16384,512,4.723893877933733,108.38516131610321,1.789302197267534,0.4602012663264759,136.0,386.0,0.0
160,TP8,native-lcm-only,1-turnover,8,9984,1024,6.000027482979931,170.66588493215158,4.246344858652446,0.46488520821323615,188.0,848.0,0.0
160,TP8,native-lcm-only,2-decode,4,512,1024,4.2457298199879006,241.18350517247896,0.4855495301366318,0.06907765520736575,191.0,846.0,0.0
160,TP8,native-lcm-only,2-prefill,4,16384,512,4.263603930012323,120.08620134622124,1.78241721256054,0.45786080275662244,109.0,414.0,0.0
160,TP8,native-lcm-only,2-turnover,8,9984,1024,8.195453717024066,124.94732266901691,4.690811684483196,0.5388026745896786,213.0,823.0,0.0
161,TP8,release-0.3.0,0-decode,4,512,1024,5.4680539009859785,187.26955120456225,0.645300577726448,0.2107349806872662,216.0,815.0,0.0
161,TP8,release-0.3.0,0-prefill,4,16384,512,2.9230475620133802,175.15965414101473,1.1577020404976792,0.29793392489664255,106.0,409.0,0.0
161,TP8,release-0.3.0,0-turnover,8,9984,1024,4.630811130045913,221.12756734042128,3.4354010592738633,0.22421999996411526,190.0,848.0,0.0
161,TP8,release-0.3.0,1-decode,4,512,1024,3.8686262379633263,264.69344336016655,0.6506340561201795,0.20215346265817044,204.0,830.0,0.0
161,TP8,release-0.3.0,1-prefill,4,16384,512,2.772246020962484,184.68779326527482,1.1159003399894571,0.29266192347859027,102.0,419.0,0.0
161,TP8,release-0.3.0,1-turnover,8,9984,1024,5.089559954009019,201.19617594707785,3.02207804499194,0.21121361998841165,209.0,827.0,0.0
161,TP8,release-0.3.0,2-decode,4,512,1024,3.9056669239653274,262.18313541195624,0.6336173788178712,0.2034686350868999,203.0,825.0,0.0
161,TP8,release-0.3.0,2-prefill,4,16384,512,3.1940143270185217,160.29984451507784,1.0774938754213508,0.2806441124877892,124.0,391.0,0.0
161,TP8,release-0.3.0,2-turnover,8,9984,1024,4.774712758953683,214.46316285304593,2.5938745876599567,0.2120674863597378,215.0,821.0,0.0
155,DP8,qualified-startup-81ecde3,0-decode,16,2048,4096,6.907512385980226,592.9775831185495,2.8159369512286503,0.07049952359870076,820.0,3314.0,0.0
155,DP8,qualified-startup-81ecde3,0-prefill,16,65536,2048,10.178782887989655,201.2028375628795,7.41491862325347,0.42553154420224015,404.0,1675.0,0.0
155,DP8,qualified-startup-81ecde3,0-turnover,32,16128,4096,8.930296879028901,458.66336309811544,7.06840828738641,0.46310665719676763,790.0,3358.0,0.0
155,DP8,qualified-startup-81ecde3,1-decode,16,2048,4096,9.677593920030631,423.245698656783,5.878192890493665,0.15340157758677375,784.0,3350.0,0.0
155,DP8,qualified-startup-81ecde3,1-prefill,16,65536,2048,12.05550913605839,169.8808384520543,8.734917584777577,0.4300038253958337,432.0,1646.0,0.0
155,DP8,qualified-startup-81ecde3,1-turnover,32,16128,4096,9.929501514998265,412.5081197493242,7.147283898666501,0.42517506901174784,837.0,3290.0,0.0
155,DP8,qualified-startup-81ecde3,2-decode,16,2048,4096,6.9632288930006325,588.2328533128156,3.37093962970539,0.07942872007843094,809.0,3326.0,0.0
155,DP8,qualified-startup-81ecde3,2-prefill,16,65536,2048,8.853504805942066,231.3208209505321,6.574096264434047,0.4286342007445637,422.0,1655.0,0.0
155,DP8,qualified-startup-81ecde3,2-turnover,32,16128,4096,8.324853442958556,492.02067376507824,6.210717147332615,0.41708490694756617,832.0,3307.0,0.0
