phase,cross_step_enabled,rank,selected_intervals,cycle_ms,target_ms,draft_ms,target_to_draft_ms,draft_to_target_ms,draft_host_ms
0,False,0,21,51.809692,39.683041,4.22942,1.539371,6.452012,9.417043
0,False,1,21,51.90979,39.729961,4.22074,1.553959,6.541799,9.438284
0,False,2,21,51.99231,39.7248,4.2308,1.542599,6.456738,9.421274
0,False,3,21,52.062988,40.668018,4.24308,1.533665,5.6747,9.153789
0,False,4,21,52.134033,40.052341,4.23462,1.53513,6.205594,9.19817
0,False,5,21,52.043091,39.86702,4.24608,1.529045,6.477494,9.085679
0,False,6,21,52.048584,39.864761,4.22924,1.547592,6.479021,9.097899
0,False,7,21,52.134033,40.077999,4.32794,1.449142,6.054617,8.796614
1,True,0,21,46.522461,39.42152,4.20332,1.53138,1.574332,9.258491
1,True,1,21,46.518921,39.377258,4.25768,1.455925,1.573517,9.348222
1,True,2,21,46.625488,39.605598,4.24576,1.451847,1.273383,9.265182
1,True,3,21,46.604126,39.59166,4.28024,1.447769,1.27847,9.217201
1,True,4,21,46.611328,39.597198,4.2766,1.454693,1.279774,9.371613
1,True,5,21,46.601074,39.609921,4.27444,1.443371,1.270729,9.115379
1,True,6,21,46.577759,39.592041,4.26612,1.455471,1.272614,9.023328
1,True,7,21,46.604492,39.607201,4.26936,1.445877,1.271924,8.918276
2,False,0,21,52.322266,39.555538,4.20392,1.470757,6.963416,9.595896
2,False,1,21,52.326416,39.862202,4.24698,1.445747,6.480225,9.331692
2,False,2,21,52.462158,40.70644,4.25398,1.441849,5.88386,9.19921
2,False,3,21,52.391113,41.291882,4.24624,1.452469,5.484571,9.165279
2,False,4,21,52.48877,40.949039,4.24916,1.453468,5.891305,9.362283
2,False,5,21,52.484131,40.514858,4.25056,1.445751,6.106029,9.012418
2,False,6,21,52.459473,40.517262,4.2382,1.451942,6.100858,9.012408
2,False,7,21,52.503418,40.544399,4.25364,1.441429,6.058836,8.997487
3,True,0,21,46.230957,39.193081,4.22212,1.46629,1.298409,9.526505
3,True,1,21,46.2854,39.25502,4.2791,1.444771,1.289568,9.401083
3,True,2,21,46.266113,39.270882,4.23278,1.456413,1.275726,9.288211
3,True,3,21,46.250732,39.261219,4.25372,1.45612,1.280115,9.217471
3,True,4,21,46.259033,39.275719,4.26012,1.448868,1.273189,9.309422
3,True,5,21,46.263916,39.275101,4.26172,1.447914,1.267092,9.090678
3,True,6,21,46.249512,39.27914,4.25888,1.460537,1.280439,9.075148
3,True,7,21,46.275879,39.283241,4.2664,1.448231,1.274581,8.835395
4,False,0,21,51.672241,39.5065,4.18074,1.458401,6.386236,9.339253
4,False,1,21,51.558594,39.359081,4.216,1.435486,6.458586,9.380073
4,False,2,21,51.685791,39.9571,4.1824,1.449821,6.097562,9.215221
4,False,3,21,51.644653,40.500061,4.20038,1.448505,5.543992,9.206341
4,False,4,21,51.560425,39.857899,4.19166,1.451847,6.070159,9.259721
4,False,5,21,51.686157,39.82098,4.20538,1.446606,6.20356,9.041358
4,False,6,21,51.692139,39.814602,4.19652,1.451302,6.216315,9.028708
4,False,7,21,51.643555,40.015442,4.20582,1.440033,5.792219,9.353373
5,True,0,21,46.144775,39.1549,4.19552,1.460766,1.287809,9.289682
5,True,1,21,46.124878,39.161041,4.21054,1.43866,1.284206,9.520505
5,True,2,21,46.098022,39.165661,4.19202,1.455879,1.271529,9.246831
5,True,3,21,46.104858,39.165779,4.19846,1.456413,1.274856,9.161859
5,True,4,21,46.097046,39.161999,4.19426,1.451317,1.271091,9.002758
5,True,5,21,46.106445,39.167381,4.20078,1.449112,1.266342,9.012098
5,True,6,21,46.105957,39.169762,4.19586,1.456463,1.272453,9.023527
5,True,7,21,46.105347,39.17202,4.20834,1.444954,1.271229,8.665863
