phase,policy,rank,selected_intervals,cycle_ms,target_ms,draft_ms,target_to_draft_ms,draft_to_target_ms,draft_host_ms
0,0,0,21,65.637573,48.102901,7.9124,1.531288,7.968948,35.247514
0,0,1,21,65.523682,46.06464,7.91192,1.538113,10.118842,36.393952
0,0,2,21,65.599854,48.013062,7.90856,1.534748,8.112366,34.383344
0,0,3,21,65.550537,47.766361,7.90756,1.534904,8.358262,36.095284
0,0,4,21,65.625244,48.228378,7.92104,1.521118,7.993547,33.93246
0,0,5,21,65.141968,45.262241,7.92124,1.530193,11.121475,36.060304
0,0,6,21,65.607666,48.220242,7.91108,1.548943,7.892582,33.857071
0,0,7,21,65.699707,39.896278,8.34048,1.449162,16.023291,36.871155
1,1,0,21,64.894287,52.774601,8.0911,1.520576,2.521869,35.65898
1,1,1,21,64.982056,41.642361,8.0924,1.455837,13.886703,36.404699
1,1,2,21,65.057373,53.562199,8.10122,1.439865,1.827003,34.256635
1,1,3,21,64.930908,53.11422,8.0859,1.447441,2.301844,36.015414
1,1,4,21,64.911865,53.3526,8.03806,1.524109,2.13857,33.817469
1,1,5,21,65.176392,52.892479,8.0884,1.452492,2.568323,36.037873
1,1,6,21,65.357422,53.681,8.0896,1.452534,1.723755,33.935467
1,1,7,21,64.883911,39.499619,8.4668,1.43327,15.488696,36.727175
2,2,0,21,51.742432,39.743641,4.15322,1.438736,6.454193,10.05411
2,2,1,21,51.745117,40.00798,4.12272,1.465366,6.217309,9.916162
2,2,2,21,51.710449,40.30658,4.14498,1.44017,5.83465,10.07514
2,2,3,21,51.736572,40.05138,4.1469,1.447922,6.130029,9.988011
2,2,4,21,51.761353,40.56374,4.13658,1.447746,5.595108,10.020061
2,2,5,21,51.630615,40.143379,4.1131,1.463634,5.961395,9.903112
2,2,6,21,51.780396,40.784721,4.1317,1.450592,5.457892,9.901561
2,2,7,21,51.779541,39.942501,4.13978,1.44912,6.269362,9.780903
3,0,0,21,64.322388,40.225361,6.79086,1.461632,15.400118,35.101845
3,0,1,21,64.73291,43.028801,6.885,1.454895,15.174378,35.980164
3,0,2,21,64.551147,47.93742,6.76048,1.445572,7.794494,33.970246
3,0,3,21,64.225342,47.616539,6.7687,1.444359,8.053821,35.43716
3,0,4,21,64.514526,48.022861,6.76282,1.535702,7.964632,33.138115
3,0,5,21,63.599976,43.32246,6.74416,1.472656,12.138546,35.325862
3,0,6,21,64.487305,48.449242,6.76432,1.453598,7.543419,33.030296
3,0,7,21,64.668945,44.298222,6.75202,1.44384,12.006116,35.923805
4,1,0,21,64.321045,51.684662,7.26786,1.445709,3.824513,35.353859
4,1,1,21,64.996582,44.914822,7.4008,1.452843,11.625076,35.945693
4,1,2,21,64.413696,52.5462,7.27226,1.440273,2.758135,34.022454
4,1,3,21,64.51001,51.962421,7.30044,1.433586,3.567838,35.744654
4,1,4,21,64.122803,52.680519,7.25826,1.451969,2.850986,33.310499
4,1,5,21,63.792969,39.811218,7.36796,1.458385,15.267357,35.748854
4,1,6,21,64.394531,52.817501,7.2622,1.44931,2.480232,33.040472
4,1,7,21,65.078857,43.565418,7.36714,1.438557,12.02958,36.024371
5,2,0,21,51.496094,39.819901,4.11508,1.454762,6.100649,9.69144
5,2,1,21,51.556641,39.719341,4.1276,1.447445,6.25299,9.75885
5,2,2,21,51.546631,40.26532,4.14478,1.442413,5.755283,9.978528
5,2,3,21,51.497925,39.679459,4.13998,1.441399,6.292338,10.007917
5,2,4,21,51.569336,40.376579,4.12742,1.444649,5.622441,10.064137
5,2,5,21,51.540161,39.870281,4.11842,1.457466,6.078178,9.830578
5,2,6,21,51.547852,40.24778,4.0973,1.465218,5.72997,10.075207
5,2,7,21,51.505615,39.710079,4.13736,1.444927,6.269634,9.75754
